,idx,unc branch,always taken branch,always not taken branch,rand branch
112,112,0.927,0.936,0.489,0.6379999999999981
113,113,0.928,0.932,0.472,0.6940000000000026
114,114,0.929,0.96,0.489,0.8419999999999987
115,115,0.959,0.962,0.464,0.6009999999999991
116,116,0.961,0.925,0.459,0.6890000000000001
117,117,0.961,0.965,0.471,0.671999999999997
118,118,0.958,0.956,0.488,0.6980000000000004
119,119,0.925,0.96,0.476,0.6439999999999984
120,120,0.957,0.958,0.467,0.7209999999999965
121,121,0.929,0.922,0.47,0.6139999999999972
122,122,0.967,0.919,0.484,0.5970000000000013
123,123,0.925,0.92,0.463,0.6679999999999993
124,124,0.922,0.922,0.485,0.740000000000002
125,125,0.96,0.926,0.47,0.615000000000002
126,126,0.925,0.931,0.462,0.615000000000002
127,127,0.957,0.955,0.47,0.45000000000000284
128,128,0.961,0.924,0.482,0.6370000000000005
129,129,0.959,0.966,0.462,0.6419999999999959
